العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,كهربائي كبلات توزيع,4,,,,,,,,الرياض,الصناعة التحويلية,كبيرة,اخضر مرتفع,11
,,,,,,كهربائي لف محركات,272,,,,,,,,الرياض,المعلومات والاتصالات,كبيرة,اخضر مرتفع,4
,,,,,,كهربائي لوحات مراقبة وتحكم,30,,,,,,,,الرياض,النقل والتخزين,كبيرة,اخضر مرتفع,18
,,,,,,كهربائي مباني,85170,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,104
,,,,,,كهربائي مسرح واستديو,0,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,كبيرة,اخضر مرتفع,1
,,,,,,كهربائي مصاعد,1444,,,,,,,,الشرقية,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,9
,,,,,,كهربائي معدات زراعية,1262,,,,,,,,الشرقية,أنشطة صحة الانسان والعمل الاجتماعي,كبيرة,اخضر مرتفع,11
,,,,,,كهربائي منصة حفر,447,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,كبيرة,اخضر مرتفع,1
,,,,,,كهروميكانيكي محطات توليد صغيرة,64,,,,,,,,الشرقية,التشييد,كبيرة,اخضر مرتفع,22
,,,,,,كواء عام,10,,,,,,,,الشرقية,التعدين واستغلال المحاجر,كبيرة,اخضر مرتفع,2
,,,,,,كواء ملابس بالبخار,12,,,,,,,,الشرقية,التعليم,كبيرة,اخضر مرتفع,1
,,,,,,كواء يدوي,0,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,17
,,,,,,كيميائي,4777,,,,,,,,الشرقية,الزراعة والحراجة وصيد الأسماك,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي اغذية,53,,,,,,,,الشرقية,الصناعة التحويلية,كبيرة,اخضر مرتفع,9
,,,,,,كيميائي تحليلي,169,,,,,,,,الشرقية,النقل والتخزين,كبيرة,اخضر مرتفع,11
,,,,,,كيميائي تنقية مياه,44,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,103
,,,,,,كيميائي دهان (اصباغ),3,,,,,,,,القصيم,غير خاضعة لانشطة ISIC4,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي صناعات,312,,,,,,,,القصيم,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,2
,,,,,,كيميائي صناعات بتروكيميائية,22,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي صناعي,147,,,,,,,,القصيم,التشييد,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي عام,10,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,5
,,,,,,كيميائي عضوي,112,,,,,,,,القصيم,الصناعة التحويلية,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي فيزيائي,21,,,,,,,,القصيم,المعلومات والاتصالات,كبيرة,اخضر مرتفع,1
,,,,,,كيميائي لا عضوي,1,,,,,,,,القصيم,النقل والتخزين,كبيرة,اخضر مرتفع,3
,,,,,,لا يوجد,47,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,28
,,,,,,لاعب ألعاب قوى محترف,6,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,3
,,,,,,لاعب رياضة بالكرة محترف,3,,,,,,,,المدينة,التشييد,كبيرة,اخضر مرتفع,1
,,,,,,لاعب رياضة دفاع عن النفس محترف,1,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,3
,,,,,,لاعب رياضة مائية محترف,3,,,,,,,,المدينة,الصناعة التحويلية,كبيرة,اخضر مرتفع,1
,,,,,,لاعب رياضة مضرب محترف,4,,,,,,,,المدينة,النقل والتخزين,كبيرة,اخضر مرتفع,7
,,,,,,لاعب رياضي محترف,48,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,32
,,,,,,لاعب سيرك,5,,,,,,,,تبوك,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,2
,,,,,,لاعب فروسية محترف,12,,,,,,,,تبوك,التشييد,كبيرة,اخضر مرتفع,1
,,,,,,لاعب كرة قدم محترف,114,,,,,,,,تبوك,الصناعة التحويلية,كبيرة,اخضر مرتفع,2
,,,,,,لحّام,34601,,,,,,,,تبوك,النقل والتخزين,كبيرة,اخضر مرتفع,2
,,,,,,لحّام تحت الماء,3,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,13
,,,,,,لحام اقشطة ناقلة,0,,,,,,,,جازان,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,1
,,,,,,لحام المركبات المعدنية,0,,,,,,,,جازان,التشييد,كبيرة,اخضر مرتفع,1
,,,,,,لحام انابيب,430,,,,,,,,جازان,النقل والتخزين,كبيرة,اخضر مرتفع,1
,,,,,,لحام انابيب عام,2,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,12
,,,,,,لحام اوكسجين,173,,,,,,,,حائل,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,1
,,,,,,لحام بالقوس الكهربائي اليا,1,,,,,,,,حائل,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,2
,,,,,,لحام بالمكواه,3,,,,,,,,حائل,النقل والتخزين,كبيرة,اخضر مرتفع,2
,,,,,,لحام بالنحاس الاصفر,0,,,,,,,,حائل,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,9
,,,,,,لحام رصاص,12,,,,,,,,عسير,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,2
,,,,,,لحام عام,1103,,,,,,,,عسير,أنشطة صحة الانسان والعمل الاجتماعي,كبيرة,اخضر مرتفع,3
,,,,,,لحام كهرباء,402,,,,,,,,عسير,التشييد,كبيرة,اخضر مرتفع,1
,,,,,,لحام كهرباء عام,1,,,,,,,,عسير,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,3
,,,,,,مُجمع أجهزة إلكترونية,575,,,,,,,,عسير,الصناعة التحويلية,كبيرة,اخضر مرتفع,4
,,,,,,مُجمع أجهزة تبريد,2627,,,,,,,,عسير,النقل والتخزين,كبيرة,اخضر مرتفع,2
,,,,,,مُجمع أجهزة طبية,109,,,,,,,,عسير,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,29
,,,,,,مُجمع أجهزة كهربائية,450,,,,,,,,مكة المكرمة,غير خاضعة لانشطة ISIC4,كبيرة,اخضر مرتفع,1
,,,,,,مُجمع سيارات,794,,,,,,,,مكة المكرمة,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,7
,,,,,,مُجمع طائرات,22,,,,,,,,مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,كبيرة,اخضر مرتفع,2
,,,,,,مُجمع لوحات توزيع كهربائية,572,,,,,,,,مكة المكرمة,الأنشطة العقارية,كبيرة,اخضر مرتفع,2
,,,,,,مُجمع محركات,98,,,,,,,,مكة المكرمة,الأنشطة المهنية والعلمية والتقنية,كبيرة,اخضر مرتفع,1
,,,,,,مُجمع محولات كهربائية,398,,,,,,,,مكة المكرمة,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",كبيرة,اخضر مرتفع,1
,,,,,,مُجمع معدات إلكترونية,607,,,,,,,,مكة المكرمة,التشييد,كبيرة,اخضر مرتفع,14
,,,,,,مُجمع معدات كهربائية,1449,,,,,,,,مكة المكرمة,التعليم,كبيرة,اخضر مرتفع,2
,,,,,,مُجمع معدات ميكانيكية,1405,,,,,,,,مكة المكرمة,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,11
,,,,,,مُجمع مقاسم إلكترونية,407,,,,,,,,مكة المكرمة,الصناعة التحويلية,كبيرة,اخضر مرتفع,10
,,,,,,مُجمع ناقلات حركة,82,,,,,,,,مكة المكرمة,المعلومات والاتصالات,كبيرة,اخضر مرتفع,1
,,,,,,مُربي حيوانات,140,,,,,,,,مكة المكرمة,النقل والتخزين,كبيرة,اخضر مرتفع,12
,,,,,,مُربية أطفال,294,,,,,,,,مكة المكرمة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,105
,,,,,,مُركِّب إطارات,8758,,,,,,,,نجران,أنشطة خدمات الاقامة والطعام,كبيرة,اخضر مرتفع,1
,,,,,,مُشطِّب معادن,1663,,,,,,,,نجران,التشييد,كبيرة,اخضر مرتفع,3
,,,,,,مُشغِّل آلة طباعة,4418,,,,,,,,نجران,التعدين واستغلال المحاجر,كبيرة,اخضر مرتفع,1
,,,,,,مُصلِح زجاج مركبات,642,,,,,,,,نجران,الخدمات الإدارية وخدمات الدعم,كبيرة,اخضر مرتفع,1
,,,,,,مُصلّح أجهزة بصرية,124,,,,,,,,نجران,الصناعة التحويلية,كبيرة,اخضر مرتفع,1
,,,,,,مُصلّح أجهزة دقيقة,429,,,,,,,,نجران,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,كبيرة,اخضر مرتفع,4
,,,,,,مُصلّح أجهزة قياس,315,,,,,,,,الباحة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مُصلّح ساعات,888,,,,,,,,الباحة,التشييد,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مُعالج أخشاب,288,,,,,,,,الباحة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مُعدّ ومشغّل أدوات وآلات النجارة,426,,,,,,,,الباحة,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مُقيّم ضوابط أمن سيبراني,2,,,,,,,,الباحة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,مُنجِّد,7196,,,,,,,,الجوف,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مُنظّف مسابح,53,,,,,,,,الجوف,التشييد,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مُنظّف نوافذ,28684,,,,,,,,الجوف,التعليم,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,ماسك دفاتر عام,181,,,,,,,,الجوف,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مأمور تنفيذ,72,,,,,,,,الجوف,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مأمور حركة سير القطارات,185,,,,,,,,الحدود الشمالية,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مأمور سنترال,21790,,,,,,,,الحدود الشمالية,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مباشر منزلي,14,,,,,,,,الحدود الشمالية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,مبرمج تطبيقات,2314,,,,,,,,الرياض,غير خاضعة لانشطة ISIC4,متوسطة (فئة أ),اخضر مرتفع,21
,,,,,,مبرمج حاسب آلي,21165,,,,,,,,الرياض,أنشطة الخدمات الأخرى,متوسطة (فئة أ),اخضر مرتفع,8
,,,,,,مبرمج رحلات سياحية,2,,,,,,,,الرياض,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,60
,,,,,,مبرمج قاعدة بيانات,973,,,,,,,,الرياض,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,36
,,,,,,مبرمج نظم بنك معلومات,403,,,,,,,,الرياض,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,مبلط,51043,,,,,,,,الرياض,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,22
,,,,,,مبلط الرخام,12,,,,,,,,الرياض,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة أ),اخضر مرتفع,32
,,,,,,مبلط طرق,3,,,,,,,,الرياض,التشييد,متوسطة (فئة أ),اخضر مرتفع,162
,,,,,,مبند جمركي,405,,,,,,,,الرياض,التعدين واستغلال المحاجر,متوسطة (فئة أ),اخضر مرتفع,12
,,,,,,مبيض ارز,1,,,,,,,,الرياض,التعليم,متوسطة (فئة أ),اخضر مرتفع,16
,,,,,,مبيض منسوجات,1,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,58
,,,,,,متدرب,36947,,,,,,,,الرياض,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,14
,,,,,,متذوق أطعمة ومشروبات,157,,,,,,,,الرياض,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,115
,,,,,,مترجم,4150,,,,,,,,الرياض,الفنون والترفيه والتسلية,متوسطة (فئة أ),اخضر مرتفع,10
,,,,,,مترجم فوري,265,,,,,,,,الرياض,المعلومات والاتصالات,متوسطة (فئة أ),اخضر مرتفع,26
,,,,,,مترجم لغة إشارة,27,,,,,,,,الرياض,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,98
,,,,,,متعامل بالقطع الاجنبية,0,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,118
,,,,,,مثمن,33,,,,,,,,الرياض,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,مجبس,11891,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مجفف خميرة الخبز,4,,,,,,,,الشرقية,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,27
,,,,,,مجفف مواد غذائية,6,,,,,,,,الشرقية,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,17
,,,,,,مجلخ,0,,,,,,,,الشرقية,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مجلخ ادوات قطع,0,,,,,,,,الشرقية,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مجلخ رأس المحرك,0,,,,,,,,الشرقية,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مجلخ عام,34,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة أ),اخضر مرتفع,6
,,,,,,مجلد كتب عام,15,,,,,,,,الشرقية,التشييد,متوسطة (فئة أ),اخضر مرتفع,131
,,,,,,مجلد كتب يدوي,3,,,,,,,,الشرقية,التعدين واستغلال المحاجر,متوسطة (فئة أ),اخضر مرتفع,8
,,,,,,مجمد مواد غذائية,1,,,,,,,,الشرقية,التعليم,متوسطة (فئة أ),اخضر مرتفع,11
,,,,,,مجهز افران الصهر,0,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,21
,,,,,,مجهز الاصباغ,10,,,,,,,,الشرقية,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مجهز حفلات,105,,,,,,,,الشرقية,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,97
,,,,,,مجهز خلطات الزجاج,3,,,,,,,,الشرقية,الفنون والترفيه والتسلية,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,مجهز خلطات للدائن,3,,,,,,,,الشرقية,المعلومات والاتصالات,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مجهز خلطات مستحضرات تجميل,12,,,,,,,,الشرقية,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,64
,,,,,,مجهز منصة حفر الابار,175,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,94
,,,,,,مجهز موتى,42,,,,,,,,الشرقية,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محاسب,133346,,,,,,,,القصيم,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محاسب تكاليف,7214,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محاسب زبائن,12543,,,,,,,,القصيم,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محاسب عام,13427,,,,,,,,القصيم,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محاسب قانوني,216,,,,,,,,القصيم,التشييد,متوسطة (فئة أ),اخضر مرتفع,15
,,,,,,محاضر,2190,,,,,,,,القصيم,التعدين واستغلال المحاجر,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محاضر سجلات طبية,0,,,,,,,,القصيم,التعليم,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محافظ,10,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,محام,838,,,,,,,,القصيم,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محامي,7195,,,,,,,,القصيم,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,13
,,,,,,محامي متدرب,1628,,,,,,,,القصيم,الفنون والترفيه والتسلية,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محرر أدبي,66,,,,,,,,القصيم,المعلومات والاتصالات,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محرر اعلانات,242,,,,,,,,القصيم,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,11
,,,,,,محرر دعاية نشر,473,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,22
,,,,,,محرر صحفي,473,,,,,,,,المدينة,غير خاضعة لانشطة ISIC4,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محرر علمي,21,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,13
,,,,,,محصل,8742,,,,,,,,المدينة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محصل (جابي),370,,,,,,,,المدينة,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محصل آلات بيع ذاتي,8,,,,,,,,المدينة,التشييد,متوسطة (فئة أ),اخضر مرتفع,8
,,,,,,محصل حافلة,11,,,,,,,,المدينة,التعليم,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محصل ديون,5985,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محضّر ومركّب هياكل معدنية,7278,,,,,,,,المدينة,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,22
,,,,,,محضر أطعمة باردة,2043,,,,,,,,المدينة,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,8
,,,,,,محضر جنازة,5,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,28
,,,,,,محضر خصوم,1,,,,,,,,تبوك,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,محضر سلطات,5,,,,,,,,تبوك,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,6
,,,,,,محضر عصير مشروبات,1046,,,,,,,,تبوك,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محضر مختبر علوم,370,,,,,,,,تبوك,التشييد,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محضر مواد تجميل ومعاجين الاسنان,34,,,,,,,,تبوك,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محفظ قرآن كريم,26,,,,,,,,تبوك,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,محقق إداري,117,,,,,,,,تبوك,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محقق جرائم سيبرانية,2,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,12
,,,,,,محقق عمالي,38,,,,,,,,جازان,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,5
,,,,,,محقق مالي,141,,,,,,,,جازان,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,6
,,,,,,محقق نظامي,9,,,,,,,,جازان,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محكّم,2,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,12
,,,,,,محلل اتصالات,265,,,,,,,,حائل,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,محلل اقتصادي,2,,,,,,,,حائل,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل أمن نظم,255,,,,,,,,حائل,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل ائتمان,1,,,,,,,,حائل,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل بنية تحتية,163,,,,,,,,حائل,التشييد,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محلل بيانات,3799,,,,,,,,حائل,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محلل دفاع أمن سيبراني,253,,,,,,,,حائل,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محلل دفاع أمن سيبراني أنظمة تحكم صناعي وتقنيات تشغيلية,12,,,,,,,,حائل,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محلل سياسي,0,,,,,,,,حائل,الفنون والترفيه والتسلية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل شبكات,220,,,,,,,,حائل,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,12
,,,,,,محلل عمليات,3017,,,,,,,,عسير,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,6
,,,,,,محلل قاعدة بيانات,792,,,,,,,,عسير,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,16
,,,,,,محلل مالي,901,,,,,,,,عسير,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل مبرمج,1277,,,,,,,,عسير,التشييد,متوسطة (فئة أ),اخضر مرتفع,13
,,,,,,محلل معلومات تهديدات سيبرانية,39,,,,,,,,عسير,التعدين واستغلال المحاجر,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل مهني,761,,,,,,,,عسير,التعليم,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,محلل نظم المعلومات,16442,,,,,,,,عسير,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,4
,,,,,,محلل نظم عام,3612,,,,,,,,عسير,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,محلل نظم و معلومات جغرافية,137,,,,,,,,عسير,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,12
,,,,,,محمص وطحان بن,14,,,,,,,,عسير,النقل والتخزين,متوسطة (فئة أ),اخضر مرتفع,11
,,,,,,محمض افلام فوتغرافية,0,,,,,,,,عسير,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة أ),اخضر مرتفع,28
,,,,,,محنط حيونات,4,,,,,,,,مكة المكرمة,غير خاضعة لانشطة ISIC4,متوسطة (فئة أ),اخضر مرتفع,3
,,,,,,مخبر,1,,,,,,,,مكة المكرمة,أنشطة الخدمات الأخرى,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مختبر برامج,26,,,,,,,,مكة المكرمة,أنشطة خدمات الاقامة والطعام,متوسطة (فئة أ),اخضر مرتفع,46
,,,,,,مختبر نظم,153,,,,,,,,مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة أ),اخضر مرتفع,17
,,,,,,مختزل و طابع آلة كاتبة عام _ ناسخ آلة,201,,,,,,,,مكة المكرمة,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مختص عناية أظافر,2970,,,,,,,,مكة المكرمة,الأنشطة العقارية,متوسطة (فئة أ),اخضر مرتفع,10
,,,,,,مختص عناية بشرة,847,,,,,,,,مكة المكرمة,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة أ),اخضر مرتفع,7
,,,,,,مخرج أفلام,90,,,,,,,,مكة المكرمة,التشييد,متوسطة (فئة أ),اخضر مرتفع,93
,,,,,,مخرج تصوير,64,,,,,,,,مكة المكرمة,التعدين واستغلال المحاجر,متوسطة (فئة أ),اخضر مرتفع,1
,,,,,,مخرج تليفزيوني وإذاعي,70,,,,,,,,مكة المكرمة,التعليم,متوسطة (فئة أ),اخضر مرتفع,11
,,,,,,مخرج سينمائي واذاعي وتلفازي,87,,,,,,,,مكة المكرمة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة أ),اخضر مرتفع,29
,,,,,,مخرج صحفي,9,,,,,,,,مكة المكرمة,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة أ),اخضر مرتفع,2
,,,,,,مخرج مسرحي,10,,,,,,,,مكة المكرمة,الصناعة التحويلية,متوسطة (فئة أ),اخضر مرتفع,57
,,,,,,مخطط حضري,104,,,,,,,,مكة المكرمة,الفنون والترفيه والتسلية,متوسطة (فئة أ),اخضر مرتفع,3
