العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,اختصاصي رعاية احداث,8,,,,,,,,الحدود الشمالية,التعليم,صغيرة (فئة ب),احمر,3
,,,,,,اختصاصي رعاية معوقين,185,,,,,,,,الحدود الشمالية,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,11
,,,,,,اختصاصي رياضيات,8,,,,,,,,الحدود الشمالية,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,6
,,,,,,اختصاصي زراعة محمية,7,,,,,,,,الحدود الشمالية,الصناعة التحويلية,صغيرة (فئة ب),احمر,39
,,,,,,اختصاصي طب اطفال,64,,,,,,,,الحدود الشمالية,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي علم اجتماع عام,88,,,,,,,,الحدود الشمالية,المعلومات والاتصالات,صغيرة (فئة ب),احمر,2
,,,,,,اختصاصي علم التشريح,1,,,,,,,,الحدود الشمالية,النقل والتخزين,صغيرة (فئة ب),احمر,19
,,,,,,اختصاصي علم امراض عام ( امراض الانسان ),36,,,,,,,,الحدود الشمالية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,204
,,,,,,اختصاصي علم حيوان - عام,0,,,,,,,,الحدود الشمالية,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي علم نبات عام,25,,,,,,,,الرياض,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,"3,560"
,,,,,,اختصاصي علم نفس اجتماعي,12,,,,,,,,الرياض,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,647
,,,,,,اختصاصي علم نفس صناعي,3,,,,,,,,الرياض,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,"1,327"
,,,,,,اختصاصي علم نفس عام,280,,,,,,,,الرياض,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,168
,,,,,,اختصاصي علم نفس علاجي,0,,,,,,,,الرياض,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,8
,,,,,,اختصاصي علم وظائف اعضاء ( فسيولوجي ),11,,,,,,,,الرياض,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,19
,,,,,,اختصاصي علوم اقتصادية,2,,,,,,,,الرياض,الأنشطة العقارية,صغيرة (فئة ب),احمر,165
,,,,,,اختصاصي غابات ومراعي,2,,,,,,,,الرياض,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,241
,,,,,,اختصاصي في اعمال الوقاية من الحريق,352,,,,,,,,الرياض,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",صغيرة (فئة ب),احمر,4
,,,,,,اختصاصي في التلوث البحري,1,,,,,,,,الرياض,التشييد,صغيرة (فئة ب),احمر,"2,808"
,,,,,,اختصاصي في تربية الاسماك,1,,,,,,,,الرياض,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,35
,,,,,,اختصاصي في شئون الافراد,0,,,,,,,,الرياض,التعليم,صغيرة (فئة ب),احمر,110
,,,,,,اختصاصي في علم التربة,23,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,826
,,,,,,اختصاصي في عيم الاحياء عام,60,,,,,,,,الرياض,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,339
,,,,,,اختصاصي فيزياء بحريه,5,,,,,,,,الرياض,الصناعة التحويلية,صغيرة (فئة ب),احمر,"1,968"
,,,,,,اختصاصي فيزياء حيوية ( بيوفيزيائي ),5,,,,,,,,الرياض,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,72
,,,,,,اختصاصي قياس البصر,75,,,,,,,,الرياض,المعلومات والاتصالات,صغيرة (فئة ب),احمر,177
,,,,,,اختصاصي قياس وتقويم,14,,,,,,,,الرياض,النقل والتخزين,صغيرة (فئة ب),احمر,781
,,,,,,اختصاصي كيمياء حيوية ( بيوكيميائي ),14,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"5,797"
,,,,,,اختصاصي كيمياء وبيئة بحرية,31,,,,,,,,الرياض,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,31
,,,,,,اختصاصي مبيدات حشرية,35,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,179
,,,,,,اختصاصي محاصيل حقلية عام,32,,,,,,,,الشرقية,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,260
