Year;Country;Value (Kb/d);Growth rate per annum 2021;Growth rate per annum 2011-21;Share 2021
1967;Venezuela;3576.0;0.021181739818512346;-0.13394124958545395;0.007276968172059719
1967;Norway;0.0;0.011004260860657089;-0.0007262343743977828;0.022528758184557043
1967;Russian Federation;0.0;0.0259857799039811;0.003829406109763678;0.12176380683962577
1967;Qatar;324.0;0.01863884943529248;-0.004373673468206385;0.019427799319937964
1967;Other Middle East;72.97753424657535;0.011403153025251411;-0.005507371067648537;0.0021211723339395906
1967;Algeria;842.6643835616437;0.016989208741859496;-0.019168427742856653;0.015050055927252524
1967;Angola;10.901835616438358;-0.11636126750752052;-0.035451819809867224;0.012954233865224927
1967;Chad;0.0;-0.07739092430558159;0.0024234194310526203;0.0012960426251119768
1967;Vietnam;0.0;-0.07175184203549767;-0.04842662621691651;0.002138650655914335
1967;of which: OECD;12464.86255890411;0.007351876295612625;0.03824488234060763;0.3160480399292659
1968;Venezuela;3639.0;0.021181739818512346;-0.13394124958545395;0.007276968172059719
1968;Norway;0.0;0.011004260860657089;-0.0007262343743977828;0.022528758184557043
1968;Other CIS;0.0;0.009843248581402397;0.00992507322077918;0.00044202774865827356
1968;Syria;21.0;1.2322452830603248;-0.12202203231432995;0.0010684326874164487
1968;Yemen;0.0;-0.2366792618132728;-0.1120656246470364;0.0007471712867693172
1968;Algeria;922.4950819672133;0.016989208741859496;-0.019168427742856653;0.015050055927252524
1968;Chad;0.0;-0.07739092430558159;0.0024234194310526203;0.0012960426251119768
1968;Equatorial Guinea;0.0;-0.11700800575183234;-0.07367231859320766;0.0015561435817629853
1968;Other Africa;1.843224043715847;-0.11473666799325744;0.039158123041266535;0.003261704928322147
1968;India;120.4182786885246;-0.03193165165427181;-0.022505178073259358;0.008301179800558844
1968;Indonesia;599.0;-0.06802891313886739;-0.031486219917371105;0.007694437644600682
1968;Non-OECD;27446.966912568307;0.01949278875364291;-0.004849740898160371;0.6839519600707346
1968;Non-OPEC;22431.294349726777;0.008257326812303845;0.015899100250315934;0.6467892451078547
1968;European Union #;700.533262295082;-0.0695851407390029;-0.048198144519203345;0.004072119458085688
1969;Canada;1306.0;0.05818705316551864;0.04443196660016557;0.06040277751561736
1969;Ecuador;4.000000000000001;-0.013555296707416287;-0.005683478547010901;0.00526133980276409
1969;Trinidad & Tobago;157.0;0.005146397625773513;-0.05570469569190595;0.0008522323203223141
1969;Uzbekistan;0.0;-0.021865293215890147;-0.028459124665332403;0.0006670871753145301
1969;Other Middle East;77.95890410958906;0.011403153025251411;-0.005507371067648537;0.0021211723339395906
1969;Angola;49.90076712328768;-0.11636126750752052;-0.035451819809867224;0.012954233865224927
1969;Egypt;239.1630136986301;-0.038370213606986225;-0.01604155377393679;0.006761229212210964
1969;Gabon;100.67772602739728;-0.1273702023440476;-0.026300843778524374;0.0020138660626010745
1969;Tunisia;78.10090410958904;0.2131251041424982;-0.04635888909716546;0.0005061458129315255
1969;China;436.5868493150686;0.023909756953389927;-0.0019866075275165596;0.04443819533162619
1969;Other Asia Pacific;36.42739726027396;-0.04705315243648667;-0.04115418864764997;0.0022095396269474184
1969;Non-OPEC;23642.985920547948;0.008257326812303845;0.015899100250315934;0.6467892451078547
1970;Canada;1473.0;0.05818705316551864;0.04443196660016557;0.06040277751561736
1970;Brazil;166.68103068071915;-0.014225904957071211;0.03206011798712183;0.03323616083253194
1970;Norway;0.0;0.011004260860657089;-0.0007262343743977828;0.022528758184557043
1970;Other Europe;528.2369589041097;-0.01331744869897089;-0.016014041041597427;0.0031836959922757926
1970;Kazakhstan;0.0;0.002805857999285566;0.00728805079249728;0.0201496873359396
1970;Iraq;1549.0;-0.0027401723179035775;0.03993176844808022;0.04564469402751451
1970;Other Middle East;78.5377397260274;0.011403153025251411;-0.005507371067648537;0.0021211723339395906
1970;Brunei;136.00000000000003;-0.03156361017471021;-0.042996666803827854;0.0011855572586830063
