السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بدومة الجندل,بنات,5162,297,5459
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بدومة الجندل,بنين,2990,178,3168
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بسكاكا,بنات,16097,1733,17830
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بسكاكا,بنين,6836,679,7515
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بطبرجل,بنات,11422,326,11748
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,حكومي,مكتب التعليم بطبرجل,بنين,6395,129,6524
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم بسكاكا,بنات,340,419,759
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم بسكاكا,بنين,68,148,216
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بدومة الجندل,بنات,140,5,145
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بدومة الجندل,بنين,157,8,165
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بسكاكا,بنات,1320,93,1413
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بسكاكا,بنين,1631,119,1750
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بطبرجل,بنات,25,13,38
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,أهلي,مكتب التعليم بطبرجل,بنين,382,49,431
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بدومة الجندل,بنات,1494,76,1570
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بدومة الجندل,بنين,1569,84,1653
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بسكاكا,بنات,4315,441,4756
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بسكاكا,بنين,4188,417,4605
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بطبرجل,بنات,3153,128,3281
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,حكومي,مكتب التعليم بطبرجل,بنين,2823,120,2943
