السنة ميلادي,السنة هجري,الإدارة العامة,اسم المدرسة,السلطة,المرحلة ,جنس المدرسة
2025,1446,الرياض,ابتدائية الفرسان الأهلية ( مسار دوبلوما أمريكي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الفرسان العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الفرسان العالمية / أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفرسان العالمية الثالثة,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفرسان العالمية الثالثة,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الفرنسية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفلبينية الأولي العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفلبينية العالمية الثانية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية القلم العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية القيادة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية القيادة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الكثبان العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الكورية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المتقدمة ( برنامج دولى امريكي ) - العقيق -,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة الأهلية دبلوما أمريكية- العارض,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المتقدمة العارض - دبلوما أمريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة العالمية - المصيف,عالمي وأجنبي,المرحلة الإبتدائية,بنات
